ethernet_dst,ethernet_src,ethernet_time,ip_dst,ip_len,ip_proto,ip_src,ip_time,ip_ttl,tcp_dport,tcp_flag,tcp_sport
fe:ff:20:00:01:00,00:00:01:00:00:00,1084443427.311224,65.208.228.223,48,6,145.254.160.237,1510805984.199834,128,80,S,3372
00:00:01:00:00:00,fe:ff:20:00:01:00,1084443428.222534,145.254.160.237,48,6,65.208.228.223,1510805984.200644,47,3372,SA,80
fe:ff:20:00:01:00,00:00:01:00:00:00,1084443428.222534,65.208.228.223,40,6,145.254.160.237,1510805984.201213,128,80,A,3372
fe:ff:20:00:01:00,00:00:01:00:00:00,1084443428.222534,65.208.228.223,519,6,145.254.160.237,1510805984.201735,128,80,PA,3372
00:00:01:00:00:00,fe:ff:20:00:01:00,1084443428.78334,145.254.160.237,40,6,65.208.228.223,1510805984.202382,47,3372,A,80
00:00:01:00:00:00,fe:ff:20:00:01:00,1084443428.993643,145.254.160.237,1420,6,65.208.228.223,1510805984.202907,47,3372,A,80
fe:ff:20:00:01:00,00:00:01:00:00:00,1084443429.12383,65.208.228.223,40,6,145.254.160.237,1510805984.203708,128,80,A,3372
00:00:01:00:00:00,fe:ff:20:00:01:00,1084443429.12383,145.254.160.237,1420,6,65.208.228.223,1510805984.204262,47,3372,A,80
fe:ff:20:00:01:00,00:00:01:00:00:00,1084443429.324118,65.208.228.223,40,6,145.254.160.237,1510805984.20479,128,80,A,3372
00:00:01:00:00:00,fe:ff:20:00:01:00,1084443429.754737,145.254.160.237,1420,6,65.208.228.223,1510805984.205237,47,3372,A,80
00:00:01:00:00:00,fe:ff:20:00:01:00,1084443429.864896,145.254.160.237,1420,6,65.208.228.223,1510805984.205729,47,3372,PA,80
fe:ff:20:00:01:00,00:00:01:00:00:00,1084443429.864896,65.208.228.223,40,6,145.254.160.237,1510805984.206236,128,80,A,3372
00:00:01:00:00:00,fe:ff:20:00:01:00,1084443429.945011,145.254.160.237,1420,6,65.208.228.223,1510805984.207728,47,3372,A,80
fe:ff:20:00:01:00,00:00:01:00:00:00,1084443430.12527,65.208.228.223,40,6,145.254.160.237,1510805984.209218,128,80,A,3372
00:00:01:00:00:00,fe:ff:20:00:01:00,1084443430.205385,145.254.160.237,1420,6,65.208.228.223,1510805984.210431,47,3372,A,80
fe:ff:20:00:01:00,00:00:01:00:00:00,1084443430.295515,216.239.59.99,761,6,145.254.160.237,1510805984.21367,128,80,PA,3371
fe:ff:20:00:01:00,00:00:01:00:00:00,1084443430.325558,65.208.228.223,40,6,145.254.160.237,1510805984.214873,128,80,A,3372
